PersonType,UserPrincipalName,Mail,Alias,FirstName,LastName,DisplayName,Gender,JobTitle,Department,OfficeLocation,CompanyName,StreetAddress,City,StateOrProvince,PostalCode,Country,OfficePhone,MobilePhone,ManagerUPN,UsageLocation,LicensePlan,PrimaryGroup,SecurityGroup,SharedMailboxAccess,MFARequired,AccountEnabled,Notes
Staff,software.support01@sammedsynlab.com,software.support01@sammedsynlab.com,software.support01,Lukas,Åström,Lukas Åström,Male,Software Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Nacka Strand 15,Nacka,Stockholm County,131 32,Sweden,+46 8 555 123 134,+46 70 223 1023,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,software.support02@sammedsynlab.com,software.support02@sammedsynlab.com,software.support02,Ella,Gran,Ella Gran,Female,Software Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Forumvägen 8,Nacka,Stockholm County,131 40,Sweden,+46 8 555 124 135,+46 70 224 1024,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,software.support03@sammedsynlab.com,software.support03@sammedsynlab.com,software.support03,Arvid,Dahl,Arvid Dahl,Male,Software Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Värmdövägen 84,Nacka,Stockholm County,131 47,Sweden,+46 8 555 125 136,+46 70 225 1025,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,software.support04@sammedsynlab.com,software.support04@sammedsynlab.com,software.support04,Freja,Månsson,Freja Månsson,Female,Software Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Kvarnholmsvägen 31,Nacka,Stockholm County,131 31,Sweden,+46 8 555 126 137,+46 70 226 1026,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,software.support05@sammedsynlab.com,software.support05@sammedsynlab.com,software.support05,Mikael,Persson,Mikael Persson,Male,Software Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Ektorpsvägen 6,Nacka,Stockholm County,131 45,Sweden,+46 8 555 127 138,+46 70 227 1027,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,software.support06@sammedsynlab.com,software.support06@sammedsynlab.com,software.support06,Yasmin,Khan,Yasmin Khan,Female,Software Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Saltsjöqvarns Kaj 11,Nacka,Stockholm County,131 71,Sweden,+46 8 555 128 139,+46 70 228 1028,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,software.support07@sammedsynlab.com,software.support07@sammedsynlab.com,software.support07,Hugo,Blom,Hugo Blom,Male,Software Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Planiavägen 3,Nacka,Stockholm County,131 50,Sweden,+46 8 555 129 140,+46 70 229 1029,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,software.support08@sammedsynlab.com,software.support08@sammedsynlab.com,software.support08,Alva,Eklund,Alva Eklund,Female,Software Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 130 141,+46 70 230 1030,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,field.engineer01@sammedsynlab.com,field.engineer01@sammedsynlab.com,field.engineer01,Rasmus,Löfgren,Rasmus Löfgren,Male,Field Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Järlastigen 4,Nacka,Stockholm County,131 34,Sweden,+46 8 555 131 142,+46 70 231 1031,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,field.engineer02@sammedsynlab.com,field.engineer02@sammedsynlab.com,field.engineer02,Alicia,Westin,Alicia Westin,Female,Field Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Sickla Allé 22,Nacka,Stockholm County,131 52,Sweden,+46 8 555 132 143,+46 70 232 1032,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,field.engineer03@sammedsynlab.com,field.engineer03@sammedsynlab.com,field.engineer03,Mateo,Nordin,Mateo Nordin,Male,Field Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Nacka Strand 15,Nacka,Stockholm County,131 32,Sweden,+46 8 555 133 144,+46 70 233 1033,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,field.engineer04@sammedsynlab.com,field.engineer04@sammedsynlab.com,field.engineer04,Ida,Sund,Ida Sund,Female,Field Support Engineer,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Forumvägen 8,Nacka,Stockholm County,131 40,Sweden,+46 8 555 134 145,+46 70 234 1034,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,helpdesk01@sammedsynlab.com,helpdesk01@sammedsynlab.com,helpdesk01,Elias,Vik,Elias Vik,Male,Help Desk Technician,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Värmdövägen 84,Nacka,Stockholm County,131 47,Sweden,+46 8 555 135 146,+46 70 235 1035,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,helpdesk02@sammedsynlab.com,helpdesk02@sammedsynlab.com,helpdesk02,Molly,Strand,Molly Strand,Female,Help Desk Technician,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Kvarnholmsvägen 31,Nacka,Stockholm County,131 31,Sweden,+46 8 555 136 147,+46 70 236 1036,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,helpdesk03@sammedsynlab.com,helpdesk03@sammedsynlab.com,helpdesk03,Oscar,Wallin,Oscar Wallin,Male,Help Desk Technician,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Ektorpsvägen 6,Nacka,Stockholm County,131 45,Sweden,+46 8 555 137 148,+46 70 237 1037,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-HQ-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.techops01@sammedsynlab.com,br.techops01@sammedsynlab.com,br.techops01,Malik,Rahman,Malik Rahman,Male,Branch Technical Support Engineer,TechOps,SMLC-BR,Sam Medsyn Lab Company AB,Drottninggatan 18,Malmö,Skåne County,211 49,Sweden,+46 40 555 138 155,+46 70 238 1038,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-BR-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.techops02@sammedsynlab.com,br.techops02@sammedsynlab.com,br.techops02,Ebba,Rosén,Ebba Rosén,Female,Branch Technical Support Engineer,TechOps,SMLC-BR,Sam Medsyn Lab Company AB,Västergatan 23,Malmö,Skåne County,211 21,Sweden,+46 40 555 139 156,+46 70 239 1039,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-BR-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.techops03@sammedsynlab.com,br.techops03@sammedsynlab.com,br.techops03,Theo,Bäck,Theo Bäck,Male,Branch Technical Support Engineer,TechOps,SMLC-BR,Sam Medsyn Lab Company AB,Medicinteknikgatan 7,Malmö,Skåne County,211 20,Sweden,+46 40 555 140 157,+46 70 240 1040,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-TechOps,SG-SMLC-BR-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.fieldops01@sammedsynlab.com,br.fieldops01@sammedsynlab.com,br.fieldops01,Julia,Frisk,Julia Frisk,Female,Branch Field Engineer,FieldOps,SMLC-BR,Sam Medsyn Lab Company AB,Stora Varvsgatan 14,Malmö,Skåne County,211 19,Sweden,+46 40 555 141 158,+46 70 241 1041,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-FieldOps,SG-SMLC-BR-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.fieldops02@sammedsynlab.com,br.fieldops02@sammedsynlab.com,br.fieldops02,Adam,Kvist,Adam Kvist,Male,Branch Field Engineer,FieldOps,SMLC-BR,Sam Medsyn Lab Company AB,Södra Förstadsgatan 38,Malmö,Skåne County,211 43,Sweden,+46 40 555 142 159,+46 70 242 1042,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-FieldOps,SG-SMLC-BR-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.fieldops03@sammedsynlab.com,br.fieldops03@sammedsynlab.com,br.fieldops03,Leila,Aziz,Leila Aziz,Female,Branch Field Engineer,FieldOps,SMLC-BR,Sam Medsyn Lab Company AB,Hyllie Boulevard 19,Malmö,Skåne County,215 32,Sweden,+46 40 555 143 160,+46 70 243 1043,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-FieldOps,SG-SMLC-BR-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.fieldops04@sammedsynlab.com,br.fieldops04@sammedsynlab.com,br.fieldops04,Filip,Norberg,Filip Norberg,Male,Branch Field Engineer,FieldOps,SMLC-BR,Sam Medsyn Lab Company AB,Carlsgatan 6,Malmö,Skåne County,211 24,Sweden,+46 40 555 144 161,+46 70 244 1044,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-FieldOps,SG-SMLC-BR-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.bizops01@sammedsynlab.com,br.bizops01@sammedsynlab.com,br.bizops01,Tilda,Berg,Tilda Berg,Female,Branch Business Operations Coordinator,BizOps,SMLC-BR,Sam Medsyn Lab Company AB,Norra Vallgatan 42,Malmö,Skåne County,211 22,Sweden,+46 40 555 145 162,+46 70 245 1045,sales.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-BizOps,SG-SMLC-BR-Staff,sales@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.bizops02@sammedsynlab.com,br.bizops02@sammedsynlab.com,br.bizops02,Simon,Lind,Simon Lind,Male,Branch Business Operations Coordinator,BizOps,SMLC-BR,Sam Medsyn Lab Company AB,Amiralsgatan 21,Malmö,Skåne County,214 37,Sweden,+46 40 555 146 163,+46 70 246 1046,sales.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-BizOps,SG-SMLC-BR-Staff,sales@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.support01@sammedsynlab.com,br.support01@sammedsynlab.com,br.support01,Meja,Hedlund,Meja Hedlund,Female,Branch Support Technician,Support,SMLC-BR,Sam Medsyn Lab Company AB,Östra Förstadsgatan 9,Malmö,Skåne County,212 12,Sweden,+46 40 555 147 164,+46 70 247 1047,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-Support,SG-SMLC-BR-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Staff,br.support02@sammedsynlab.com,br.support02@sammedsynlab.com,br.support02,Axel,Ek,Axel Ek,Male,Branch Support Technician,Support,SMLC-BR,Sam Medsyn Lab Company AB,Drottninggatan 18,Malmö,Skåne County,211 49,Sweden,+46 40 555 148 165,+46 70 248 1048,techops.manager@sammedsynlab.com,SE,Microsoft 365 Business Basic,SMLC-Support,SG-SMLC-BR-Staff,support@sammedsynlab.com,Yes,Yes,Fictional lab identity
Admin,adm-it.manager@sammedsynlab.com,adm-it.manager@sammedsynlab.com,adm-it.manager,Daniel,Ekström,Daniel Ekström,Male,Privileged Role Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 211 222,+46 70 301 1101,,SE,Unlicensed admin account,SMLC-Admins,SG-SMLC-M365-Admins,,Yes,Yes,Separate admin account for it.manager@sammedsynlab.com
Admin,adm-netadmin01@sammedsynlab.com,adm-netadmin01@sammedsynlab.com,adm-netadmin01,Jonas,Wikström,Jonas Wikström,Male,Intune Administrator planned,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 212 223,+46 70 302 1102,,SE,Unlicensed admin account,SMLC-Admins,SG-SMLC-M365-Admins,,Yes,Yes,Separate admin account for netadmin01@sammedsynlab.com
Admin,adm-netadmin02@sammedsynlab.com,adm-netadmin02@sammedsynlab.com,adm-netadmin02,Fatima,Ali,Fatima Ali,Female,Exchange Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 213 224,+46 70 303 1103,,SE,Unlicensed admin account,SMLC-Admins,SG-SMLC-M365-Admins,,Yes,Yes,Separate admin account for netadmin02@sammedsynlab.com
Admin,adm-sysadmin01@sammedsynlab.com,adm-sysadmin01@sammedsynlab.com,adm-sysadmin01,Henrik,Larsson,Henrik Larsson,Male,SharePoint Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 214 225,+46 70 304 1104,,SE,Unlicensed admin account,SMLC-Admins,SG-SMLC-M365-Admins,,Yes,Yes,Separate admin account for sysadmin01@sammedsynlab.com
Admin,adm-sysadmin02@sammedsynlab.com,adm-sysadmin02@sammedsynlab.com,adm-sysadmin02,Linnea,Nilsson,Linnea Nilsson,Female,Teams Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 215 226,+46 70 305 1105,,SE,Unlicensed admin account,SMLC-Admins,SG-SMLC-M365-Admins,,Yes,Yes,Separate admin account for sysadmin02@sammedsynlab.com
Admin,adm-security.admin@sammedsynlab.com,adm-security.admin@sammedsynlab.com,adm-security.admin,Erik,Forsberg,Erik Forsberg,Male,Security Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 216 227,+46 70 306 1106,,SE,Unlicensed admin account,SMLC-Admins,SG-SMLC-M365-Admins,,Yes,Yes,Separate admin account for security.admin@sammedsynlab.com
Admin,adm-helpdesk01@sammedsynlab.com,adm-helpdesk01@sammedsynlab.com,adm-helpdesk01,Elias,Vik,Elias Vik,Male,Helpdesk Administrator,TechOps,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 217 228,+46 70 307 1107,,SE,Unlicensed admin account,SMLC-Admins,SG-SMLC-M365-Admins,,Yes,Yes,Separate admin account for helpdesk01@sammedsynlab.com
Admin,adm-cloudadmin01@sammedsynlab.com,adm-cloudadmin01@sammedsynlab.com,adm-cloudadmin01,Cloud,Reviewer,Cloud Reviewer,N/A,Global Reader / Backup Cloud Administrator,ITInfra,SMLC-HQ,Sam Medsyn Lab Company AB,Radiovägen 12,Nacka,Stockholm County,131 54,Sweden,+46 8 555 220 231,+46 70 310 1110,,SE,Unlicensed admin account,SMLC-Admins,SG-SMLC-M365-Admins,,Yes,Yes,Added to match Scenario Section 5 admin-only account total (8); backup cloud admin review account
