"DisplayName","UserPrincipalName","Department","JobTitle","AccountEnabled","UserType","UsageLocation"
"Nora Håkansson","hr.two@samstack.onmicrosoft.com","MgmtAdmin","HR Coordinator","True","Member","SE"
"SMLC HR","hr@samstack.onmicrosoft.com",,,"False","Member",
"General Info","info@samstack.onmicrosoft.com",,,"False","Member",
"Ingrid Pettersson","ingrid.pettersson@samstack.onmicrosoft.com","Fotoarkiv","Fotoarkivansvarig","True","Member","SE"
"Daniel Ekström","it.manager@samstack.onmicrosoft.com","ITInfra","IT Manager","True","Member","SE"
"IT Support","itsupport@samstack.onmicrosoft.com",,,"False","Member",
"Johan Norberg","johan.norberg@samstack.onmicrosoft.com","Evenemang","Evenemangsansvarig","True","Member","SE"
"Karin Berg","karin.berg@samstack.onmicrosoft.com","Styrelse","Sekreterare","True","Member","SE"
"Lars Andersson","lars.andersson@samstack.onmicrosoft.com","Styrelse","Vice ordförande","True","Member","SE"
"Emil Sandberg","marketing.one@samstack.onmicrosoft.com","BizOps","Marketing Coordinator","True","Member","SE"
"Mats Eriksson","mats.eriksson@samstack.onmicrosoft.com","Ekonomi","Kassör","True","Member","SE"
"Jonas Wikström","netadmin01@samstack.onmicrosoft.com","ITInfra","Network Administrator","True","Member","SE"
"Fatima Ali","netadmin02@samstack.onmicrosoft.com","ITInfra","Network Administrator","True","Member","SE"
"New TechOps One","new.techops01@samstack.onmicrosoft.com","TechOps","TechOps Staff (Onboarding Test)","True","Member","SE"
"No Reply","noreply@samstack.onmicrosoft.com",,,"False","Member",
"Elin Bergström","operations.manager@samstack.onmicrosoft.com","MgmtAdmin","Operations Manager","True","Member","SE"
"Sam Parsakian","owner@samstack.onmicrosoft.com","MgmtAdmin","Managing Director","True","Member","SE"
"Per Nilsson","per.nilsson@samstack.onmicrosoft.com","Arkiv","Byggnadsarkiv och CAD","True","Member","SE"
"Isabella Karlsson","sales.manager@samstack.onmicrosoft.com","BizOps","Sales Manager","True","Member","SE"
"Noah Pettersson","sales.one@samstack.onmicrosoft.com","BizOps","Sales Executive","True","Member","SE"
"Clara Holm","sales.two@samstack.onmicrosoft.com","BizOps","Sales Executive","True","Member","SE"
"SMLC Sales","sales@samstack.onmicrosoft.com",,,"False","Member",
"Samuel Parsakian","SamuelParsakian@samstack.onmicrosoft.com",,,"True","Member","SE"
"Erik Forsberg","security.admin@samstack.onmicrosoft.com","ITInfra","Security Administrator","True","Member","SE"
"Security Alerts","security@samstack.onmicrosoft.com",,,"False","Member",
"Lukas Åström","software.support01@samstack.onmicrosoft.com","TechOps","Software Support Engineer","True","Member","SE"
"Ella Gran","software.support02@samstack.onmicrosoft.com","TechOps","Software Support Engineer","True","Member","SE"
"Arvid Dahl","software.support03@samstack.onmicrosoft.com","TechOps","Software Support Engineer","True","Member","SE"
"Freja Månsson","software.support04@samstack.onmicrosoft.com","TechOps","Software Support Engineer","True","Member","SE"
"Mikael Persson","software.support05@samstack.onmicrosoft.com","TechOps","Software Support Engineer","True","Member","SE"
"Yasmin Khan","software.support06@samstack.onmicrosoft.com","TechOps","Software Support Engineer","True","Member","SE"
"Hugo Blom","software.support07@samstack.onmicrosoft.com","TechOps","Software Support Engineer","True","Member","SE"
"Alva Eklund","software.support08@samstack.onmicrosoft.com","TechOps","Software Support Engineer","True","Member","SE"
"SMLC Support","support@samstack.onmicrosoft.com",,,"False","Member",
"Henrik Larsson","sysadmin01@samstack.onmicrosoft.com","ITInfra","Systems Administrator","True","Member","SE"
"Linnea Nilsson","sysadmin02@samstack.onmicrosoft.com","ITInfra","Systems Administrator","True","Member","SE"
"Anton Lindholm","techops.manager@samstack.onmicrosoft.com","TechOps","Technical Operations Manager","True","Member","SE"
