"Group","Members"
"SMLC-Admins","adm-it.manager@samstack.onmicrosoft.com;adm-netadmin01@samstack.onmicrosoft.com;adm-netadmin02@samstack.onmicrosoft.com;adm-sysadmin01@samstack.onmicrosoft.com;adm-sysadmin02@samstack.onmicrosoft.com;adm-security.admin@samstack.onmicrosoft.com;adm-helpdesk01@samstack.onmicrosoft.com;adm-cloudadmin01@samstack.onmicrosoft.com;breakglass01@samstack.onmicrosoft.com;breakglass02@samstack.onmicrosoft.com"
"All Company","SamuelParsakian@samstack.onmicrosoft.com"
"Management","owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com"
"SMLC - MgmtAdmin","owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com"
"IT","it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com"
"Security","it.manager@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com"
"HR","hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com"
"SG-SMLC-ITInfra-Private","it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com"
"SG-SMLC-TechOps-Tools","techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com;new.techops01@samstack.onmicrosoft.com"
"SG-SMLC-M365-Admins","adm-it.manager@samstack.onmicrosoft.com;adm-netadmin01@samstack.onmicrosoft.com;adm-netadmin02@samstack.onmicrosoft.com;adm-sysadmin01@samstack.onmicrosoft.com;adm-sysadmin02@samstack.onmicrosoft.com;adm-security.admin@samstack.onmicrosoft.com;adm-helpdesk01@samstack.onmicrosoft.com;adm-cloudadmin01@samstack.onmicrosoft.com;breakglass01@samstack.onmicrosoft.com;breakglass02@samstack.onmicrosoft.com"
"SMLC - Finance","finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com"
"SMLC-All-Staff","owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com;finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com;it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com;sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com"
"SMLC-FieldOps","br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com"
"SMLC - ITInfra","it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com"
"SG-SMLC-BR-Staff","br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com"
"SG-SMLC-FieldOps-RemoteAccess","br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com"
"SG-SMLC-SharePoint-Owners","operations.manager@samstack.onmicrosoft.com;finance.manager@samstack.onmicrosoft.com;it.manager@samstack.onmicrosoft.com;sales.manager@samstack.onmicrosoft.com;techops.manager@samstack.onmicrosoft.com"
"SG-SMLC-HR-Private","hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com"
"Sales","sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com"
"Finance","finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com"
"SMLC - Knowledge Base","SamuelParsakian@samstack.onmicrosoft.com;owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com;finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com;it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com;sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com"
"SMLC-HelpDesk","helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com"
"Nackademin","SamuelParsakian@samstack.onmicrosoft.com;eva.lindstrom@samstack.onmicrosoft.com;lars.andersson@samstack.onmicrosoft.com;mats.eriksson@samstack.onmicrosoft.com;karin.berg@samstack.onmicrosoft.com;anna.sjostrom@samstack.onmicrosoft.com;per.nilsson@samstack.onmicrosoft.com;ingrid.pettersson@samstack.onmicrosoft.com;johan.norberg@samstack.onmicrosoft.com;owner@samstack.onmicrosoft.com;operations.manager@samstack.onmicrosoft.com;admin.one@samstack.onmicrosoft.com;admin.two@samstack.onmicrosoft.com;hr.one@samstack.onmicrosoft.com;hr.two@samstack.onmicrosoft.com;executive.assistant@samstack.onmicrosoft.com;finance.manager@samstack.onmicrosoft.com;accountant@samstack.onmicrosoft.com;finance.assistant@samstack.onmicrosoft.com;it.manager@samstack.onmicrosoft.com;netadmin01@samstack.onmicrosoft.com;netadmin02@samstack.onmicrosoft.com;sysadmin01@samstack.onmicrosoft.com;sysadmin02@samstack.onmicrosoft.com;security.admin@samstack.onmicrosoft.com;sales.manager@samstack.onmicrosoft.com;sales.one@samstack.onmicrosoft.com;sales.two@samstack.onmicrosoft.com;marketing.one@samstack.onmicrosoft.com;customer.service.one@samstack.onmicrosoft.com;techops.manager@samstack.onmicrosoft.com;software.support01@samstack.onmicrosoft.com;software.support02@samstack.onmicrosoft.com;software.support03@samstack.onmicrosoft.com;software.support04@samstack.onmicrosoft.com;software.support05@samstack.onmicrosoft.com;software.support06@samstack.onmicrosoft.com;software.support07@samstack.onmicrosoft.com;software.support08@samstack.onmicrosoft.com;field.engineer01@samstack.onmicrosoft.com;field.engineer02@samstack.onmicrosoft.com;field.engineer03@samstack.onmicrosoft.com;field.engineer04@samstack.onmicrosoft.com;helpdesk01@samstack.onmicrosoft.com;helpdesk02@samstack.onmicrosoft.com;helpdesk03@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com;adm-it.manager@samstack.onmicrosoft.com;adm-netadmin01@samstack.onmicrosoft.com;adm-netadmin02@samstack.onmicrosoft.com;adm-sysadmin01@samstack.onmicrosoft.com;adm-sysadmin02@samstack.onmicrosoft.com;adm-security.admin@samstack.onmicrosoft.com;adm-helpdesk01@samstack.onmicrosoft.com;adm-cloudadmin01@samstack.onmicrosoft.com;breakglass01@samstack.onmicrosoft.com;breakglass02@samstack.onmicrosoft.com;new.techops01@samstack.onmicrosoft.com"
"SMLC - Branch","operations.manager@samstack.onmicrosoft.com;br.techops01@samstack.onmicrosoft.com;br.techops02@samstack.onmicrosoft.com;br.techops03@samstack.onmicrosoft.com;br.fieldops01@samstack.onmicrosoft.com;br.fieldops02@samstack.onmicrosoft.com;br.fieldops03@samstack.onmicrosoft.com;br.fieldops04@samstack.onmicrosoft.com;br.bizops01@samstack.onmicrosoft.com;br.bizops02@samstack.onmicrosoft.com;br.support01@samstack.onmicrosoft.com"
