"Alias","UserPrincipalName","DisplayName","AccountType","Department","OfficeLocation","Licensed","Status","Error"
"br.fieldops03","br.fieldops03@samstack.onmicrosoft.com","Leila Aziz","Staff","FieldOps","SMLC-BR","False","Created",""
"br.fieldops04","br.fieldops04@samstack.onmicrosoft.com","Filip Norberg","Staff","FieldOps","SMLC-BR","False","Created",""
"br.bizops01","br.bizops01@samstack.onmicrosoft.com","Tilda Berg","Staff","BizOps","SMLC-BR","False","Created",""
"br.bizops02","br.bizops02@samstack.onmicrosoft.com","Simon Lind","Staff","BizOps","SMLC-BR","False","Created",""
"br.support01","br.support01@samstack.onmicrosoft.com","Meja Hedlund","Staff","Support","SMLC-BR","False","Created",""
"br.support02","br.support02@samstack.onmicrosoft.com","Axel Ek","Staff","Support","SMLC-BR","False","Created",""
"adm-it.manager","adm-it.manager@samstack.onmicrosoft.com","Daniel Ekström","Admin","ITInfra","SMLC-HQ","False","Created",""
"adm-netadmin01","adm-netadmin01@samstack.onmicrosoft.com","Jonas Wikström","Admin","ITInfra","SMLC-HQ","False","Created",""
"adm-netadmin02","adm-netadmin02@samstack.onmicrosoft.com","Fatima Ali","Admin","ITInfra","SMLC-HQ","False","Created",""
"adm-sysadmin01","adm-sysadmin01@samstack.onmicrosoft.com","Henrik Larsson","Admin","ITInfra","SMLC-HQ","False","Created",""
"adm-sysadmin02","adm-sysadmin02@samstack.onmicrosoft.com","Linnea Nilsson","Admin","ITInfra","SMLC-HQ","False","Created",""
"adm-security.admin","adm-security.admin@samstack.onmicrosoft.com","Erik Forsberg","Admin","ITInfra","SMLC-HQ","False","Created",""
"adm-helpdesk01","adm-helpdesk01@samstack.onmicrosoft.com","Elias Vik","Admin","TechOps","SMLC-HQ","False","Created",""
"adm-cloudadmin01","adm-cloudadmin01@samstack.onmicrosoft.com","Cloud Reviewer","Admin","ITInfra","SMLC-HQ","False","Created",""
"breakglass01","breakglass01@samstack.onmicrosoft.com","Recovery Admin One","BreakGlass","ITInfra","SMLC-HQ","False","Created",""
"breakglass02","breakglass02@samstack.onmicrosoft.com","Recovery Admin Two","BreakGlass","ITInfra","SMLC-HQ","False","Created",""
